name	rank_200407	rank_202203	count_200407	count_202203
NICHOLS	153.0	381.0	18.0	10.0
HIRSCH	396.0	382.0	10.0	10.0
DYER	1933.0	383.0	3.0	10.0
MCKENZIE	1546.0	384.0	4.0	10.0
MCISAAC	1113.0	385.0	5.0	10.0
DANIELS	143.0	386.0	19.0	10.0
PIKE	2254.0	387.0	3.0	10.0
JEAN	1002.0	388.0	5.0	10.0
KANG	3306.0	389.0	2.0	10.0
MEEHAN	623.0	390.0	7.0	10.0
FELDMAN	417.0	391.0	9.0	10.0
JACOB	10692.0	392.0	1.0	10.0
MCGRATH	280.0	393.0	12.0	10.0
HOLLAND	246.0	394.0	13.0	10.0
REID	371.0	395.0	10.0	10.0
MERRILL	337.0	396.0	11.0	10.0
MEYER	329.0	397.0	11.0	10.0
MARTINEZ	474.0	398.0	8.0	10.0
DOWNING	286.0	399.0	12.0	10.0
REGAN	341.0	400.0	11.0	10.0
BRUNO	485.0	401.0	8.0	10.0
KELLEHER	228.0	402.0	14.0	10.0
MILLS	151.0	403.0	18.0	10.0
SILVER	575.0	404.0	7.0	10.0
BARTLETT	277.0	405.0	12.0	10.0
KIRBY	896.0	406.0	5.0	10.0
HANNON	288.0	407.0	12.0	10.0
MORGAN	124.0	408.0	21.0	10.0
GOODMAN	900.0	409.0	5.0	10.0
DIAMOND	399.0	410.0	9.0	10.0
NOLAN	210.0	411.0	15.0	10.0
MAY	808.0	412.0	6.0	10.0
ROSENBERG	391.0	413.0	10.0	10.0
SANTOSUOSSO	352.0	414.0	10.0	10.0
GOMES	283.0	415.0	12.0	10.0
OWENS	1579.0	416.0	4.0	10.0
KIRCHNER	787.0	417.0	6.0	10.0
BERMAN	394.0	418.0	10.0	10.0
CONNELL	567.0	419.0	7.0	10.0
GALVIN	321.0	420.0	11.0	10.0
CONNEELY	733.0	421.0	6.0	10.0
KWOK	1143.0	422.0	4.0	10.0
KWAN	945.0	423.0	5.0	10.0
MA	9692.0	424.0	1.0	10.0
ZHU	1983.0	425.0	3.0	10.0
BERRY	237.0	426.0	14.0	10.0
CLEARY	2205.0	427.0	3.0	10.0
CRAWFORD	523.0	428.0	8.0	10.0
PAGE	369.0	429.0	10.0	10.0
WOLFE	1463.0	430.0	4.0	10.0
HENRY	1301.0	431.0	4.0	10.0
GORMAN	423.0	432.0	9.0	10.0
WALL	360.0	433.0	10.0	10.0
GUTIERREZ	771.0	434.0	6.0	10.0
WISEMAN	992.0	435.0	5.0	10.0
GROSSMAN	1491.0	436.0	4.0	10.0
WINKLER	533.0	437.0	8.0	10.0
KERR	676.0	438.0	6.0	10.0
BERNSTEIN	1099.0	439.0	5.0	10.0
WELCH	822.0	440.0	6.0	9.0
HANSEN	265.0	441.0	13.0	9.0
COHN	449.0	442.0	9.0	9.0
STARK	953.0	443.0	5.0	9.0
HANLON	1210.0	444.0	4.0	9.0
ANDREWS	748.0	445.0	6.0	9.0
YU	2144.0	446.0	3.0	9.0
MCNAMARA	199.0	447.0	15.0	9.0
DEFRANCISCO	584.0	448.0	7.0	9.0
HARTMAN	1387.0	449.0	4.0	9.0
AMES	299.0	450.0	12.0	9.0
SOARES	1995.0	451.0	3.0	9.0
GRECO	1541.0	452.0	4.0	9.0
MAGEE	601.0	453.0	7.0	9.0
WOO	5240.0	454.0	1.0	9.0
KOCH	543.0	455.0	7.0	9.0
CYR	372.0	456.0	10.0	9.0
SHANNON	376.0	457.0	10.0	9.0
FLEMING	1204.0	458.0	4.0	9.0
ALI	1238.0	459.0	4.0	9.0
MENDEZ	1045.0	460.0	5.0	9.0
MARA	415.0	461.0	9.0	9.0
WILKINSON	1617.0	462.0	4.0	9.0
CURTIN	515.0	463.0	8.0	9.0
TIERNEY	253.0	464.0	13.0	9.0
MACMILLAN	604.0	465.0	7.0	9.0
MACGILLIVRAY	1580.0	466.0	4.0	9.0
LEAHY	707.0	467.0	6.0	9.0
LORDAN	388.0	468.0	10.0	9.0
NUGENT	1483.0	469.0	4.0	9.0
ORFANOS	518.0	470.0	8.0	9.0
NEWMAN	656.0	471.0	7.0	9.0
BANNON	622.0	472.0	7.0	9.0
BLAIR	295.0	473.0	12.0	9.0
PEREIRA	3537.0	474.0	2.0	9.0
DILLON	468.0	475.0	8.0	9.0
BATES	1064.0	476.0	5.0	9.0
ABBOTT	206.0	477.0	15.0	9.0
PARSONS	222.0	478.0	14.0	9.0
GLYNN	1090.0	479.0	5.0	9.0
MCDONNELL	317.0	480.0	11.0	9.0
HEALY	144.0	481.0	19.0	9.0
PAQUETTE	2994.0	482.0	2.0	9.0
MONTGOMERY	540.0	483.0	8.0	9.0
FULLER	4615.0	484.0	2.0	9.0
JOSHI	2035.0	485.0	3.0	9.0
HENDERSON	1292.0	486.0	4.0	9.0
DALTON	512.0	487.0	8.0	9.0
PITTS	1376.0	488.0	4.0	9.0
PINARD	761.0	489.0	6.0	9.0
HODGDON	1041.0	490.0	5.0	9.0
MORSE	238.0	491.0	13.0	9.0
DASILVA	362.0	492.0	10.0	9.0
GEORGE	263.0	493.0	13.0	8.0
AHEARN	1043.0	494.0	5.0	8.0
HALEY	494.0	495.0	8.0	8.0
HEALEY	232.0	496.0	14.0	8.0
BLAKE	249.0	497.0	13.0	8.0
HUNT	812.0	498.0	6.0	8.0
MULLEN	819.0	499.0	6.0	8.0
LARGENTON	785.0	500.0	6.0	8.0
